date,game_id,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-03-03,2213458a287cb0b1ffa4d46d3ed430b3,Charlotte Hornets,Dallas Mavericks,-13.5,-110,13.5,-110,-13.5,-108,13.5,-112,-13.0,-112,13.0,-110,-13.0,-110,13.0,-110,-13.0,-110,13.0,-110,-13.5,-110,13.5,-110,-13.0,-114,13.0,-106,-13.5,-104,13.5,-108,-13.5,-110,13.5,-110
2026-03-03,b6df29b0fdf2fd3b00b97b1e81870cca,Cleveland Cavaliers,Detroit Pistons,2.5,-105,-2.5,-115,2.5,-105,-2.5,-115,2.5,-109,-2.5,-114,2.5,-105,-2.5,-115,3.0,-115,-3.0,-105,2.5,-105,-2.5,-115,2.5,-114,-2.5,-106,2.5,-101,-2.5,-111,2.5,-110,-2.5,-110
2026-03-03,7a292e434c91c398eb8db7bf1008b671,Orlando Magic,Washington Wizards,-16.5,-110,16.5,-110,-16.0,-115,16.0,-105,-16.0,-110,16.0,-113,-16.5,-110,16.5,-110,-16.0,-110,16.0,-110,-16.5,-108,16.5,-112,-16.0,-110,16.0,-110,-16.0,-111,16.0,-101,-16.5,-110,16.5,-110
2026-03-03,637bb875ffdc47533ca3ed42d7bbcaa7,Miami Heat,Brooklyn Nets,-12.5,-110,12.5,-110,-12.5,-112,12.5,-108,-13.0,-110,13.0,-112,-12.5,-110,12.5,-110,-12.5,-110,12.5,-110,-12.5,-112,12.5,-108,-13.0,-108,13.0,-112,-12.5,-108,12.5,-104,-12.5,-110,12.5,-110
2026-03-03,6e039621e88bb0b022d5b0d3eafd9596,Toronto Raptors,New York Knicks,2.5,-105,-2.5,-115,2.5,-105,-2.5,-115,2.5,-108,-2.5,-115,2.5,-105,-2.5,-115,2.5,-105,-2.5,-115,2.5,-105,-2.5,-115,2.5,-108,-2.5,-112,2.5,-101,-2.5,-111,3.0,-110,-3.0,-110
2026-03-03,6178a340912ea77ebb5169a9c65f3ec7,Chicago Bulls,Oklahoma City Thunder,10.5,-115,-10.5,-105,10.0,-110,-10.0,-110,10.0,-108,-10.0,-115,10.0,-110,-10.0,-110,10.0,-115,-10.0,-105,10.5,-115,-10.5,-105,10.0,-110,-10.0,-110,10.0,-106,-10.0,-106,10.0,-110,-10.0,-110
2026-03-03,5b3a7e855054866a44f6443710ea000b,Minnesota Timberwolves,Memphis Grizzlies,-13.5,-115,13.5,-105,-14.5,-110,14.5,-110,-14.5,-110,14.5,-113,-14.0,-110,14.0,-110,-14.5,-110,14.5,-110,-14.5,-108,14.5,-112,-14.5,-106,14.5,-114,-14.5,-106,14.5,-106,-14.5,-110,14.5,-110
2026-03-03,fe9fbae6e69b1684995b2fa8f45fb691,Philadelphia 76ers,San Antonio Spurs,8.5,-115,-8.5,-105,8.0,-105,-8.0,-115,8.0,-110,-8.0,-113,8.0,-110,-8.0,-110,8.0,-105,-8.0,-115,8.5,-118,-8.5,-102,8.0,-110,-8.0,-110,8.0,-101,-8.0,-111,8.0,-110,-8.0,-110
2026-03-03,63d7f24774bdc95465206323a257aa73,Los Angeles Lakers,New Orleans Pelicans,-8.5,-110,8.5,-110,-8.5,-110,8.5,-110,-8.5,-114,8.5,-109,-8.5,-110,8.5,-110,-8.5,-115,8.5,-105,-8.5,-108,8.5,-112,-8.5,-112,8.5,-108,-8.5,-106,8.5,-106,-8.5,-110,8.5,-110
2026-03-03,1da265a6a1035935a4d2f806af7c3a74,Sacramento Kings,Phoenix Suns,9.5,-110,-9.5,-110,10.0,-115,-10.0,-105,9.5,-108,-9.5,-115,9.5,-110,-9.5,-110,9.5,-110,-9.5,-110,9.5,-105,-9.5,-115,10.0,-114,-10.0,-106,10.0,-111,-10.0,-101,9.5,-110,-9.5,-110
2026-03-03,5e27bbc527b9df8725ac9fcf03174b8c,New York Knicks,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,,,3.5,-110,-3.5,-110,4.0,-112,-4.0,-108,,,,,,,,
2026-03-03,e94b132f71de8a19ec817d79677921d9,Milwaukee Bucks,Atlanta Hawks,,,,,,,,,,,,,,,,,,,,,,,,,1.5,-112,-1.5,-108,,,,,,,,
