date,game_id,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-04-07,9f4ac4d421b28dcb2764f555eb8a8f0c,Washington Wizards,Chicago Bulls,5.5,-102,-5.5,-118,6.0,-113,-6.0,-107,6.0,-110,-6.0,-113,6.0,-115,-6.0,-105,6.0,-110,-6.0,-110,6.5,-118,-6.5,-102,6.0,-108,-6.0,-112,6.0,-109,-6.0,-103,5.5,-110,-5.5,-110
2026-04-07,be5171067867c61067c779345515c72d,Indiana Pacers,Minnesota Timberwolves,12.5,-110,-12.5,-110,12.5,-107,-12.5,-113,12.5,-109,-12.5,-114,12.5,-110,-12.5,-110,12.5,-110,-12.5,-110,12.5,-105,-12.5,-115,12.5,-106,-12.5,-114,12.5,-103,-12.5,-109,13.0,-110,-13.0,-110
2026-04-07,d669fae8ce6b2ba2ca97fb61dc09e2ce,Brooklyn Nets,Milwaukee Bucks,2.5,-115,-2.5,-105,2.0,-107,-2.0,-113,2.5,-109,-2.5,-113,2.0,-105,-2.0,-115,2.5,-115,-2.5,-105,2.5,-112,-2.5,-108,2.0,-112,-2.0,-108,2.0,-103,-2.0,-109,2.0,-110,-2.0,-110
2026-04-07,9aaa887e3f4a853902d6613072b2f35b,Toronto Raptors,Miami Heat,-1.5,-110,1.5,-110,-1.5,-110,1.5,-110,-1.5,-110,1.5,-113,-1.5,-110,1.5,-110,-2.0,-110,2.0,-110,-1.5,-108,1.5,-112,-1.5,-110,1.5,-110,-1.5,-106,1.5,-106,-1.5,-110,1.5,-110
2026-04-07,96d26f7a098eba89636e1a99c7c79d8d,Boston Celtics,Charlotte Hornets,-4.5,-105,4.5,-115,-4.0,-111,4.0,-109,-4.5,-112,4.5,-112,-4.5,-110,4.5,-110,-4.0,-110,4.0,-110,-4.5,-102,4.5,-118,-4.0,-114,4.0,-106,-4.0,-107,4.0,-105,-4.5,-110,4.5,-110
2026-04-07,24016853f9722af6d4829341d7ae4d81,New Orleans Pelicans,Utah Jazz,-10.5,-115,10.5,-105,-10.5,-110,10.5,-110,-11.0,-108,11.0,-115,-10.5,-110,10.5,-110,-10.5,-110,10.5,-110,-10.5,-112,10.5,-108,-10.5,-115,10.5,-105,-10.5,-106,10.5,-106,-10.5,-110,10.5,-110
2026-04-07,74efed6fa8060207aa1784a960c6141c,Golden State Warriors,Sacramento Kings,-14.5,-110,14.5,-110,-14.0,-113,14.0,-107,-14.5,-114,14.5,-109,-14.5,-110,14.5,-110,-14.5,-115,14.5,-105,-14.5,-110,14.5,-110,-14.5,-110,14.5,-110,-14.0,-109,14.0,-103,-14.5,-110,14.5,-110
2026-04-07,3133467540e08b88d68625ed9e975399,Los Angeles Clippers,Dallas Mavericks,-12.5,-102,12.5,-118,-11.5,-115,11.5,-105,-12.0,-109,12.0,-114,-12.0,-110,12.0,-110,-12.5,-105,12.5,-115,-11.5,-115,11.5,-105,-11.5,-114,11.5,-106,-11.5,-111,11.5,-101,-11.5,-110,11.5,-110
2026-04-07,01f002eb30dfd24045740d4fbf68207e,Los Angeles Lakers,Oklahoma City Thunder,18.5,-115,-18.5,-105,17.5,-105,-17.5,-115,18.0,-109,-18.0,-114,18.0,-110,-18.0,-110,18.0,-115,-18.0,-105,18.5,-112,-18.5,-108,18.5,-112,-18.5,-108,17.5,-101,-17.5,-111,17.5,-110,-17.5,-110
2026-04-07,6ec00d2267f0fe20067d4e2363a17162,Phoenix Suns,Houston Rockets,1.5,-118,-1.5,-102,1.0,-113,-1.0,-107,1.0,-118,-1.0,-106,-1.0,-110,1.0,-110,-1.0,-105,1.0,-115,1.5,-120,-1.5,100,-1.0,-108,1.0,-112,1.0,-109,-1.0,-103,-1.0,-110,1.0,-110
