date,game_id,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-01-28,a47d74012c56b704a36ae0021c8392c8,Indiana Pacers,Chicago Bulls,2.5,-115,-2.5,-105,2.5,-113,-2.5,-113,2.0,-110,-2.0,-110,2.0,-105,-2.0,-115,2.5,-118,-2.5,-102,2.0,-110,-2.0,-110,2.0,-106,-2.0,-106,2.0,-110,-2.0,-110
2026-01-28,b1d4679968c1da9189652022adcf816a,Cleveland Cavaliers,Los Angeles Lakers,-3.5,-110,3.5,-110,-3.5,-115,3.5,-110,-3.5,-110,3.5,-110,-3.5,-105,3.5,-115,-3.5,-112,3.5,-108,-3.5,-110,3.5,-110,-3.5,-107,3.5,-105,-3.5,-110,3.5,-110
2026-01-28,e907dc4e4ae93aa241aa6d755e2f79d4,Boston Celtics,Atlanta Hawks,-5.5,-110,5.5,-110,-5.5,-115,5.5,-110,-5.5,-110,5.5,-110,-6.5,-110,6.5,-110,-5.5,-110,5.5,-110,-5.5,-110,5.5,-110,-5.5,-106,5.5,-106,-5.5,-110,5.5,-110
2026-01-28,0b8ffd9f984035052aaf60239f29af68,Miami Heat,Orlando Magic,-3.5,-110,3.5,-110,-3.5,-114,3.5,-112,-3.5,-110,3.5,-110,-3.0,-110,3.0,-110,-3.5,-112,3.5,-108,-4.0,-106,4.0,-114,-3.5,-103,3.5,-109,-3.5,-110,3.5,-110
2026-01-28,b163681d4409ddad919155cc94f36d9f,Toronto Raptors,New York Knicks,-1.5,-110,1.5,-110,-2.0,-112,2.0,-114,-1.5,-110,1.5,-110,-2.0,-110,2.0,-110,-1.5,-112,1.5,-108,-2.0,-110,2.0,-110,-1.5,-110,1.5,-102,-1.5,-110,1.5,-110
2026-01-28,c74e1e8de1a58fba37850759f89a8e30,Memphis Grizzlies,Charlotte Hornets,1.5,-110,-1.5,-110,2.0,-115,-2.0,-110,1.5,-110,-1.5,-110,2.5,-120,-2.5,100,1.5,-108,-1.5,-112,1.5,-110,-1.5,-110,1.5,-103,-1.5,-109,1.5,-110,-1.5,-110
2026-01-28,cf7a41fccdf21b9d5d3b2ab18a0139f4,Dallas Mavericks,Minnesota Timberwolves,8.5,-115,-8.5,-105,7.5,-113,-7.5,-113,8.0,-110,-8.0,-110,7.0,-110,-7.0,-110,7.5,-102,-7.5,-118,8.0,-112,-8.0,-108,8.0,-108,-8.0,-104,8.0,-110,-8.0,-110
2026-01-28,9476261795fcf301db96d29ae947702a,Utah Jazz,Golden State Warriors,9.5,-115,-9.5,-105,8.5,-112,-8.5,-113,9.0,-110,-9.0,-110,10.0,-115,-10.0,-105,8.5,-102,-8.5,-118,9.0,-110,-9.0,-110,9.0,-108,-9.0,-104,9.0,-110,-9.0,-110
2026-01-28,414a88d689269047de48baa7d975123f,Houston Rockets,San Antonio Spurs,-2.5,-115,2.5,-105,-2.5,-112,2.5,-113,-3.0,-110,3.0,-110,-2.5,-115,2.5,-105,-2.5,-120,2.5,100,-2.5,-110,2.5,-110,-3.0,-108,3.0,-104,-3.0,-110,3.0,-110
2026-01-28,4329ccf40a387789800b68750d2cd999,Washington Wizards,Milwaukee Bucks,,,,,,,,,,,,,,,,,,,,,,,,,3.0,-106,-3.0,-106,,,,
