date,game_id,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-03-01,bb4195b038cce802d282f17ff4ca7471,New York Knicks,San Antonio Spurs,3.5,-115,-3.5,-115,,,,,3.5,-121,-3.5,-113,,,,,2.0,-120,-2.0,-110,4.5,-115,-4.5,-115,3.5,-104,-3.5,-128,,,,,4.5,-118,-4.5,-105
2026-03-01,ab2357087428a9fee8c8a747eed1fced,Brooklyn Nets,Cleveland Cavaliers,12.5,-110,-12.5,-110,12.5,-113,-12.5,-107,12.0,-112,-12.0,-112,12.5,-110,-12.5,-110,12.5,-115,-12.5,-105,12.5,-112,-12.5,-108,12.5,-110,-12.5,-110,12.5,-109,-12.5,-103,12.5,-110,-12.5,-110
2026-03-01,cc2edd23c90efdc9ac05b2dda6db0710,Chicago Bulls,Milwaukee Bucks,2.5,-110,-2.5,-110,3.0,-115,-3.0,-105,3.0,-110,-3.0,-113,3.0,-110,-3.0,-110,2.5,-105,-2.5,-115,2.5,-112,-2.5,-108,3.0,-114,-3.0,-106,3.0,-111,-3.0,-101,3.0,-110,-3.0,-110
2026-03-01,25a45928a3d4b8a0d492283f6f434421,Denver Nuggets,Minnesota Timberwolves,-2.5,-110,2.5,-110,-3.0,-105,3.0,-115,-2.5,-114,2.5,-109,-2.5,-110,2.5,-110,-2.5,-115,2.5,-105,-2.5,-108,2.5,-112,-2.5,-110,2.5,-110,-3.0,-101,3.0,-111,-3.0,-110,3.0,-110
2026-03-01,1ac567e2d0cf71fd4c1de0ff58cb9a0a,Indiana Pacers,Memphis Grizzlies,-1.5,-102,1.5,-118,-1.0,-110,1.0,-110,-1.0,-112,1.0,-112,-1.0,-105,1.0,-115,-1.0,-110,1.0,-110,-1.5,100,1.5,-120,-1.0,-110,1.0,-110,-1.0,-104,1.0,-108,-1.0,-110,1.0,-110
2026-03-01,36b7acd903108abf04b18bf6449f45b3,Atlanta Hawks,Portland Trail Blazers,-5.5,-110,5.5,-110,-5.5,-110,5.5,-110,-5.5,-109,5.5,-114,-5.5,-110,5.5,-110,-6.0,-115,6.0,-105,-6.5,-105,6.5,-115,-6.0,-108,6.0,-112,-5.5,-106,5.5,-106,-5.5,-110,5.5,-110
2026-03-01,7129ee2856df2237632c277ccbc657f7,Boston Celtics,Philadelphia 76ers,-9.5,-110,9.5,-110,-9.5,-110,9.5,-110,-9.5,-107,9.5,-117,-9.5,-110,9.5,-110,-9.5,-110,9.5,-110,-9.5,-110,9.5,-110,-9.5,-110,9.5,-110,-9.5,-106,9.5,-106,-9.5,-110,9.5,-110
2026-03-01,4d40482f62b199752b8b264572ff8460,Orlando Magic,Detroit Pistons,5.5,-118,-5.5,-102,5.0,-107,-5.0,-113,5.0,-110,-5.0,-113,5.5,-110,-5.5,-110,5.5,-115,-5.5,-105,5.5,-112,-5.5,-108,5.5,-114,-5.5,-106,5.0,-103,-5.0,-109,5.5,-110,-5.5,-110
2026-03-01,3d268484ec4724f35d87620826643242,Dallas Mavericks,Oklahoma City Thunder,15.5,-105,-15.5,-115,15.5,-110,-15.5,-110,15.5,-110,-15.5,-113,15.5,-110,-15.5,-110,15.5,-115,-15.5,-105,16.5,-115,-16.5,-105,15.5,-110,-15.5,-110,15.5,-106,-15.5,-106,15.5,-110,-15.5,-110
2026-03-01,7ef96743c87da2d41e5269fb5d3ac078,Los Angeles Clippers,New Orleans Pelicans,-8.5,-115,8.5,-105,-8.5,-115,8.5,-105,-8.5,-112,8.5,-112,-8.5,-115,8.5,-105,-9.0,-105,9.0,-115,-8.5,-115,8.5,-105,-8.5,-114,8.5,-106,-8.5,-111,8.5,-101,-9.0,-110,9.0,-110
2026-03-01,517d3f658ed7692ebe7eaea81aa3c1ef,Los Angeles Lakers,Sacramento Kings,-12.5,-110,12.5,-110,-12.5,-110,12.5,-110,-13.0,-110,13.0,-113,-12.5,-110,12.5,-110,-13.0,-105,13.0,-115,-12.5,-112,12.5,-108,-13.0,-110,13.0,-110,-12.5,-106,12.5,-106,-12.5,-110,12.5,-110
