date,game_id,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price
2026-04-11,22dcb3e32847c7eab5774e8927016216,Miami Heat,Atlanta Hawks,5.5,-105,-5.5,-115,6.0,-110,-6.0,-110,6.0,-108,-6.0,-115,5.5,-110,-5.5,-110,6.5,-110,-6.5,-110,6.0,-106,-6.0,-106
2026-04-11,f78d40af453b24c39e18559579894d14,Boston Celtics,Orlando Magic,8.5,-102,-8.5,-115,9.5,-110,-9.5,-110,8.5,-110,-8.5,-113,8.5,-112,-8.5,-108,8.5,-110,-8.5,-110,8.5,107,-8.5,-119
2026-04-11,d55bfef33abc5dc6dba0717236d0ee80,Toronto Raptors,Brooklyn Nets,-19.5,-115,19.5,-105,-20.5,-110,20.5,-110,-19.0,-112,19.0,-112,-18.5,-115,18.5,-105,-20.5,-110,20.5,-110,-20.5,-106,20.5,-106
2026-04-11,38b10a0526d5b246097a502269bcdf71,New York Knicks,Charlotte Hornets,8.5,-110,-8.5,-110,8.5,-110,-8.5,-110,8.0,-112,-8.0,-112,8.5,-112,-8.5,-108,8.5,-110,-8.5,-110,8.5,-106,-8.5,-106
2026-04-11,ad75b36adad0af42dea87b9bcdfa91f8,Cleveland Cavaliers,Washington Wizards,-16.5,-105,16.5,-115,-15.5,-110,15.5,-110,-16.0,-112,16.0,-112,-15.5,-110,15.5,-110,-16.0,-110,16.0,-110,-15.5,-106,15.5,-106
2026-04-11,4675acfb68965858aa571a0493a222da,Indiana Pacers,Detroit Pistons,12.5,-110,-12.5,-110,12.0,-110,-12.0,-110,12.0,-112,-12.0,-112,11.5,-105,-11.5,-115,12.0,-106,-12.0,-114,12.0,-106,-12.0,-106
2026-04-11,23c66e71d25675800d939e532e38bcd2,Philadelphia 76ers,Milwaukee Bucks,-16.5,-105,16.5,-115,-16.0,-110,16.0,-110,-16.0,-112,16.0,-112,-16.5,-105,16.5,-115,-16.0,-110,16.0,-110,-16.0,-106,16.0,-106
2026-04-11,c8cde1aa908581185caf0bb87659055a,Dallas Mavericks,Chicago Bulls,-6.5,-118,6.5,-102,-7.5,-110,7.5,-110,-7.5,-114,7.5,-109,-6.5,-112,6.5,-108,-6.5,-114,6.5,-106,-7.5,-106,7.5,-106
2026-04-11,09604d4c311c1eb2215317d12154f42a,San Antonio Spurs,Denver Nuggets,,,,,-5.5,-110,5.5,-110,-4.5,-114,4.5,-109,-5.5,-110,5.5,-110,-5.0,-112,5.0,-108,-5.5,-106,5.5,-106
2026-04-11,06ccc7d0ba2acaf031c7d42eea09672c,Los Angeles Clippers,Golden State Warriors,-8.5,-115,8.5,-105,-9.0,-115,9.0,-105,-8.5,-112,8.5,-112,-8.5,-110,8.5,-110,-9.0,-110,9.0,-110,-9.0,-111,9.0,-101
2026-04-11,fdd561cce076bab5eb0f0651d1d0f8e4,Houston Rockets,Memphis Grizzlies,,,,,-16.5,-110,16.5,-110,-16.5,-112,16.5,-112,-16.5,-108,16.5,-112,-17.0,-110,17.0,-110,-16.5,-106,16.5,-106
2026-04-11,3f3bec3a69985062b105b5fe8bf06fe9,Los Angeles Lakers,Utah Jazz,-16.5,-110,16.5,-110,-16.5,-105,16.5,-115,-17.0,-112,17.0,-112,-16.5,-110,16.5,-110,-17.0,-110,17.0,-110,-16.5,-101,16.5,-111
2026-04-11,47ede7b5685ae38218b5c2ea1ffd1699,Minnesota Timberwolves,New Orleans Pelicans,-10.5,-110,10.5,-110,-10.5,-110,10.5,-110,-11.0,-108,11.0,-114,-10.5,-110,10.5,-110,-10.5,-112,10.5,-108,-10.5,-106,10.5,-106
2026-04-11,8c4fafe262a5424f243a130d7ab60e82,Oklahoma City Thunder,Phoenix Suns,-6.5,-115,6.5,-105,-6.5,-115,6.5,-105,-7.0,-112,7.0,-112,-6.5,-115,6.5,-105,-6.5,-114,6.5,-106,-6.5,-111,6.5,-101
2026-04-11,3f5adb3e93b0c63eb14ed1d0e8b90a43,Portland Trail Blazers,Sacramento Kings,-16.5,-110,16.5,-110,-16.5,-110,16.5,-110,-16.5,-113,16.5,-110,-16.5,-110,16.5,-110,-16.5,-110,16.5,-110,-16.5,-106,16.5,-106
