date,game_id,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-04-28,b2b5566d4285c0ab7ca9f78f4d1a6de7,Cleveland Guardians,Tampa Bay Rays,-1.5,165,1.5,-200,-1.5,170,1.5,-195,-1.5,163,1.5,-205,-1.5,168,1.5,-195,-1.5,160,1.5,-185,-1.5,163,1.5,-199,-1.5,152,1.5,-184,-1.5,171,1.5,-195,-1.5,161,1.5,-200
2026-04-28,3c9ebf868da49e615e589bd0d839b640,Baltimore Orioles,Houston Astros,-1.5,150,1.5,-185,-1.5,149,1.5,-170,-1.5,150,1.5,-190,-1.5,148,1.5,-170,-1.5,150,1.5,-175,-1.5,144,1.5,-175,-1.5,140,1.5,-170,-1.5,150,1.5,-170,-1.5,139,1.5,-172
2026-04-28,781a040a058473c689200f515770de83,Cincinnati Reds,Colorado Rockies,-1.5,105,1.5,-130,-1.5,100,1.5,-120,-1.5,104,1.5,-129,-1.5,100,1.5,-120,-1.5,105,1.5,-125,-1.5,104,1.5,-126,-1.5,106,1.5,-128,-1.5,103,1.5,-117,-1.5,-101,1.5,-121
2026-04-28,ca628e132f0ee9d811d1967c7062a0a5,Philadelphia Phillies,San Francisco Giants,-1.5,125,1.5,-155,-1.5,125,1.5,-145,-1.5,125,1.5,-157,-1.5,130,1.5,-150,-1.5,130,1.5,-150,-1.5,123,1.5,-149,-1.5,122,1.5,-146,-1.5,127,1.5,-143,-1.5,122,1.5,-149
2026-04-28,5a82b72d720f0eb369a8aaea7d673273,Pittsburgh Pirates,St. Louis Cardinals,-1.5,140,1.5,-170,-1.5,135,1.5,-155,-1.5,135,1.5,-167,-1.5,135,1.5,-155,-1.5,135,1.5,-160,-1.5,135,1.5,-163,-1.5,136,1.5,-164,-1.5,136,1.5,-154,-1.5,132,1.5,-162
2026-04-28,5a48e526a92801449cb2aff612e11b5f,Toronto Blue Jays,Boston Red Sox,1.5,-190,-1.5,155,-1.5,186,1.5,-220,1.5,-225,-1.5,170,-1.5,188,1.5,-220,-1.5,185,1.5,-225,1.5,-192,-1.5,157,1.5,-205,-1.5,168,-1.5,189,1.5,-218,1.5,-196,-1.5,158
2026-04-28,fbf763600d3ccdeb10333812e326159f,New York Mets,Washington Nationals,-1.5,118,1.5,-145,-1.5,115,1.5,-135,-1.5,112,1.5,-139,-1.5,115,1.5,-135,-1.5,120,1.5,-140,-1.5,113,1.5,-136,-1.5,118,1.5,-142,-1.5,118,1.5,-133,-1.5,113,1.5,-138
2026-04-28,6015a24988595d49a325507fa8543243,Atlanta Braves,Detroit Tigers,,,,,-1.5,165,1.5,-190,-1.5,160,1.5,-200,-1.5,164,1.5,-190,-1.5,170,1.5,-200,1.5,-189,-1.5,155,-1.5,168,1.5,-205,-1.5,166,1.5,-190,1.5,-189,-1.5,153
2026-04-28,be00405883c8d7ad0c220c8af4c08a53,Chicago White Sox,Los Angeles Angels,1.5,-160,-1.5,135,1.5,-147,-1.5,127,1.5,-152,-1.5,120,1.5,-145,-1.5,125,1.5,-150,-1.5,130,1.5,-156,-1.5,129,1.5,-154,-1.5,128,1.5,-146,-1.5,129,1.5,-156,-1.5,127
2026-04-28,72f79061defb394c2e533967c55edb30,Milwaukee Brewers,Arizona Diamondbacks,1.5,-210,-1.5,170,-1.5,182,1.5,-213,1.5,-210,-1.5,163,-1.5,183,1.5,-213,-1.5,175,1.5,-210,1.5,-186,-1.5,153,1.5,-192,-1.5,158,-1.5,184,1.5,-212,1.5,-200,-1.5,160
2026-04-28,7401e0a3694fdfd518a0b949987e61b4,Minnesota Twins,Seattle Mariners,,,,,1.5,-162,-1.5,142,1.5,-162,-1.5,130,1.5,-160,-1.5,140,1.5,-165,-1.5,140,1.5,-168,-1.5,139,1.5,-172,-1.5,142,1.5,-162,-1.5,143,1.5,-172,-1.5,140
2026-04-28,bb7e51c3ed5e76ca658d46e6b586c0fa,Texas Rangers,New York Yankees,1.5,-175,-1.5,145,1.5,-170,-1.5,149,1.5,-180,-1.5,143,1.5,-170,-1.5,148,1.5,-170,-1.5,145,1.5,-171,-1.5,141,1.5,-164,-1.5,136,1.5,-170,-1.5,150,1.5,-175,-1.5,141
2026-04-28,630b5c008c0741c01c32f890068fa598,Athletics,Kansas City Royals,1.5,-165,-1.5,135,1.5,-160,-1.5,140,1.5,-167,-1.5,135,1.5,-160,-1.5,140,1.5,-165,-1.5,140,1.5,-168,-1.5,139,1.5,-166,-1.5,138,1.5,-160,-1.5,141,1.5,-170,-1.5,137
2026-04-28,d221d6de333533ced3489663067a588d,San Diego Padres,Chicago Cubs,1.5,-170,-1.5,140,1.5,-170,-1.5,149,1.5,-180,-1.5,143,1.5,-170,-1.5,148,1.5,-170,-1.5,145,1.5,-168,-1.5,139,1.5,-162,-1.5,134,1.5,-170,-1.5,150,1.5,-168,-1.5,136
2026-04-28,54e35854b4573f13cd3a3491cd75cfa1,Los Angeles Dodgers,Miami Marlins,-1.5,-135,1.5,110,-1.5,-132,1.5,112,-1.5,-122,1.5,100,-1.5,-135,1.5,115,-1.5,-135,1.5,115,-1.5,-131,1.5,109,-1.5,-132,1.5,110,-1.5,-130,1.5,115,-1.5,-128,1.5,104
