date,game_id,commence_time,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-05-12,9936f843966ef49b29f8f61cd41491f1,2026-05-12T22:11:00Z,Cleveland Guardians,Los Angeles Angels,-1.5,155,1.5,-190,-1.5,155,1.5,-177,-1.5,160,1.5,-200,-1.5,152,1.5,-175,-1.5,153,1.5,-186,-1.5,150,1.5,-182,-1.5,156,1.5,-177,-1.5,158,1.5,-188
2026-05-12,6d160243347bd35cdb3abf1b2690fda8,2026-05-12T22:36:00Z,Baltimore Orioles,New York Yankees,1.5,-130,-1.5,105,1.5,-125,-1.5,105,1.5,-127,-1.5,102,1.5,-125,-1.5,105,1.5,-126,-1.5,104,1.5,-128,-1.5,106,1.5,-122,-1.5,108,1.5,-130,-1.5,110
2026-05-12,6c8098ab353355d002d66e825b4217ab,2026-05-12T22:41:00Z,Cincinnati Reds,Washington Nationals,-1.5,140,1.5,-170,-1.5,142,1.5,-162,-1.5,140,1.5,-175,-1.5,140,1.5,-160,-1.5,135,1.5,-163,-1.5,130,1.5,-156,-1.5,143,1.5,-162,-1.5,140,1.5,-160
2026-05-12,79fa6c856d2a95ff10cb955ab2d424e2,2026-05-12T22:41:00Z,Pittsburgh Pirates,Colorado Rockies,-1.5,-140,1.5,115,-1.5,-145,1.5,125,-1.5,-139,1.5,112,-1.5,-145,1.5,125,-1.5,-143,1.5,119,-1.5,-144,1.5,120,-1.5,-143,1.5,127,-2.5,105,2.5,-125
2026-05-12,07b1faa56850a94bfd3921725fe520a2,2026-05-12T22:46:00Z,Boston Red Sox,Philadelphia Phillies,1.5,-145,-1.5,118,1.5,-136,-1.5,116,1.5,-136,-1.5,110,1.5,-135,-1.5,115,1.5,-136,-1.5,113,1.5,-142,-1.5,118,1.5,-134,-1.5,119,1.5,-140,-1.5,120
2026-05-12,b2c44ca94237edf5b7270d7dde706835,2026-05-12T23:08:00Z,Toronto Blue Jays,Tampa Bay Rays,1.5,-185,-1.5,150,1.5,-170,-1.5,149,1.5,-186,-1.5,150,1.5,-170,-1.5,148,1.5,-181,-1.5,149,1.5,-182,-1.5,150,1.5,-170,-1.5,150,1.5,-174,-1.5,151
2026-05-12,fe40950314ca87c69985e8a1a37c8822,2026-05-12T23:11:00Z,New York Mets,Detroit Tigers,-1.5,145,1.5,-180,-1.5,145,1.5,-165,-1.5,140,1.5,-175,-1.5,144,1.5,-165,-1.5,141,1.5,-171,-1.5,146,1.5,-178,-1.5,146,1.5,-165,-1.5,143,1.5,-165
2026-05-12,744c4597586797d5f7e9be094f031f11,2026-05-12T23:16:00Z,Atlanta Braves,Chicago Cubs,,,,,-1.5,163,1.5,-187,1.5,-205,-1.5,160,-1.5,160,1.5,-185,1.5,-190,-1.5,156,-1.5,168,1.5,-205,-1.5,164,1.5,-187,,,,
2026-05-12,c125a2382938301b1e4462c3600de32b,2026-05-12T23:41:00Z,Chicago White Sox,Kansas City Royals,1.5,-160,-1.5,135,1.5,-150,-1.5,130,1.5,-157,-1.5,125,1.5,-150,-1.5,130,1.5,-156,-1.5,129,1.5,-160,-1.5,132,1.5,-149,-1.5,132,1.5,-145,-1.5,125
2026-05-12,ad3552c4909328a0be4de1ec98e97bcf,2026-05-12T23:41:00Z,Minnesota Twins,Miami Marlins,,,,,-1.5,183,1.5,-215,1.5,-195,-1.5,155,-1.5,184,1.5,-215,1.5,-170,-1.5,140,1.5,-194,-1.5,160,-1.5,185,1.5,-213,1.5,-179,-1.5,147
2026-05-12,a0a43f882e4a4ab92fa1024e42f33be0,2026-05-12T23:41:00Z,Milwaukee Brewers,San Diego Padres,-1.5,160,1.5,-210,-1.5,159,1.5,-182,-1.5,163,1.5,-205,-1.5,156,1.5,-180,-1.5,153,1.5,-186,-1.5,150,1.5,-182,-1.5,160,1.5,-182,-1.5,154,1.5,-183
2026-05-12,34393ecc2b2d109779095b1d4935225b,2026-05-13T00:06:00Z,Texas Rangers,Arizona Diamondbacks,-1.5,165,1.5,-200,-1.5,163,1.5,-187,-1.5,165,1.5,-215,-1.5,160,1.5,-185,-1.5,163,1.5,-199,-1.5,164,1.5,-200,-1.5,164,1.5,-187,-1.5,159,1.5,-194
2026-05-12,a1fa0d550bd68cf44d71f0657fa93d6a,2026-05-13T00:11:00Z,Houston Astros,Seattle Mariners,1.5,-115,-1.5,-105,1.5,-115,-1.5,-105,1.5,-122,-1.5,100,1.5,-115,-1.5,-105,1.5,-115,-1.5,-105,1.5,-120,-1.5,100,1.5,-112,-1.5,-102,1.5,-120,-1.5,100
2026-05-12,265d87925f501ac50a2a12c6b5a91354,2026-05-13T01:41:00Z,Athletics,St. Louis Cardinals,-1.5,125,1.5,-150,-1.5,128,1.5,-148,-1.5,123,1.5,-152,-1.5,130,1.5,-150,-1.5,129,1.5,-156,-1.5,130,1.5,-156,-1.5,130,1.5,-147,-1.5,128,1.5,-148
2026-05-12,a0929cf66d445eec19f118010165e95c,2026-05-13T02:11:00Z,Los Angeles Dodgers,San Francisco Giants,-1.5,-140,1.5,115,-1.5,-145,1.5,125,-1.5,-141,1.5,114,-1.5,-145,1.5,125,-1.5,-143,1.5,119,-1.5,-146,1.5,122,-1.5,-143,1.5,127,-2.5,110,2.5,-130
