date,game_id,commence_time,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-07-18,d8bf9cd37db11dd5e36f7b8d846883b4,2026-07-18T17:11:00Z,Cleveland Guardians,Pittsburgh Pirates,-1.5,170,1.5,-210,-1.5,167,1.5,-192,-1.5,170,1.5,-220,-1.5,164,1.5,-190,-1.5,170,1.5,-200,-1.5,162,1.5,-198,-1.5,180,1.5,-220,-1.5,168,1.5,-192,-1.5,164,1.5,-194
2026-07-18,1ac6eaa4fa03ab0a81e5ba09ce7bcaa3,2026-07-18T18:21:00Z,Chicago Cubs,Minnesota Twins,,,,,-1.5,145,1.5,-165,-1.5,143,1.5,-177,-1.5,144,1.5,-165,-1.5,145,1.5,-170,-1.5,141,1.5,-171,-1.5,146,1.5,-178,-1.5,146,1.5,-165,-1.5,140,1.5,-165
2026-07-18,788467a93a1571afb0e1d4c0656c8b46,2026-07-18T19:06:00Z,Philadelphia Phillies,New York Mets,-1.5,115,1.5,-140,-1.5,118,1.5,-138,-1.5,118,1.5,-143,-1.5,120,1.5,-140,-1.5,120,1.5,-140,-1.5,111,1.5,-134,-1.5,118,1.5,-142,-1.5,120,1.5,-136,-1.5,120,1.5,-141
2026-07-18,2c17f198c2dcc5320275ab58c867035c,2026-07-18T19:08:00Z,Toronto Blue Jays,Chicago White Sox,1.5,-185,-1.5,150,1.5,-175,-1.5,153,1.0,-143,-1.0,118,1.5,-175,-1.5,152,-1.5,185,1.5,-225,1.5,-181,-1.5,149,1.5,-170,-1.5,140,1.5,-175,-1.5,154,1.5,-177,-1.5,149
2026-07-18,2962ef39359f54f01f0254f086b45881,2026-07-18T19:11:00Z,Colorado Rockies,Cincinnati Reds,1.5,-155,-1.5,125,1.5,-152,-1.5,132,1.5,-167,-1.5,135,1.5,-152,-1.5,132,1.5,-150,-1.5,130,1.5,-157,-1.5,130,1.5,-156,-1.5,130,1.5,-151,-1.5,133,1.5,-157,-1.5,134
2026-07-18,3ccc4f228a6ed52e09f6277f5d002fdc,2026-07-18T20:11:00Z,Arizona Diamondbacks,St. Louis Cardinals,-1.5,160,1.5,-210,-1.5,170,1.5,-195,1.5,-215,-1.5,165,-1.5,168,1.5,-195,-1.5,170,1.5,-200,1.5,-198,-1.5,162,1.5,-194,-1.5,162,-1.5,171,1.5,-195,1.5,-192,-1.5,161
2026-07-18,054bfd160adb6a374830d05222e3f585,2026-07-18T20:11:00Z,Atlanta Braves,Texas Rangers,,,,,-1.5,174,1.5,-200,1.5,-195,-1.5,155,-1.5,172,1.5,-200,-1.5,170,1.5,-200,1.5,-183,-1.5,150,1.5,-184,-1.5,152,-1.5,175,1.5,-200,1.5,-175,-1.5,148
2026-07-18,48ca8f5f46eb95a95a448679ea6cf7b1,2026-07-18T20:11:00Z,Houston Astros,Baltimore Orioles,1.5,-190,-1.5,154,-1.5,180,1.5,-210,1.5,-182,-1.5,148,-1.5,180,1.5,-210,-1.5,185,1.5,-225,1.5,-182,-1.5,149,1.5,-178,-1.5,146,-1.5,182,1.5,-209,1.5,-183,-1.5,153
2026-07-18,698618fc0740b4cfa7a19834f721993e,2026-07-18T20:11:00Z,Boston Red Sox,Tampa Bay Rays,1.5,-180,-1.5,145,-1.5,174,1.5,-200,1.5,-195,-1.5,155,-1.5,172,1.5,-200,1.5,-170,-1.5,145,1.5,-174,-1.5,144,1.5,-178,-1.5,146,-1.5,175,1.5,-200,1.5,-169,-1.5,143
2026-07-18,af96de180c395ddeb2a1600317946494,2026-07-18T20:11:00Z,Kansas City Royals,San Diego Padres,1.5,-165,-1.5,135,1.5,-160,-1.5,140,1.5,-157,-1.5,128,1.5,-160,-1.5,140,1.5,-165,-1.5,140,1.5,-167,-1.5,138,1.5,-152,-1.5,126,1.5,-160,-1.5,141,1.5,-161,-1.5,137
2026-07-18,31b5f1a35ef3661e5911f39a57d11ac5,2026-07-18T20:11:00Z,Milwaukee Brewers,Miami Marlins,-1.5,145,1.5,-175,-1.5,149,1.5,-170,-1.5,150,1.5,-186,-1.5,148,1.5,-170,-1.5,150,1.5,-175,-1.5,145,1.5,-176,-1.5,142,1.5,-172,-1.5,150,1.5,-170,-1.5,148,1.5,-177
2026-07-18,1b7f4086b3b3d2a039917465354f741b,2026-07-18T23:10:00Z,Cleveland Guardians,Pittsburgh Pirates,1.5,-175,-1.5,145,1.5,-175,-1.5,153,1.5,-182,-1.5,150,,,,,1.5,-180,-1.5,155,1.5,-185,-1.5,152,1.5,-194,-1.5,160,1.5,-175,-1.5,154,1.5,-185,-1.5,156
2026-07-18,b1c11c1965517ee6fc64d8fcb9f8e6e3,2026-07-19T00:09:00Z,New York Yankees,Los Angeles Dodgers,1.5,-190,-1.5,154,1.5,-182,-1.5,159,1.5,-177,-1.5,145,1.5,-180,-1.5,156,-1.5,180,1.5,-220,1.5,-186,-1.5,153,1.5,-184,-1.5,152,1.5,-182,-1.5,160,1.5,-180,-1.5,152
2026-07-18,fc2051a727661b285a4718bc4738966e,2026-07-19T00:09:00Z,Seattle Mariners,San Francisco Giants,-1.5,150,1.5,-185,-1.5,153,1.5,-175,-1.5,160,1.5,-200,-1.5,152,1.5,-175,-1.5,150,1.5,-175,-1.5,149,1.5,-181,-1.5,150,1.5,-182,-1.5,154,1.5,-175,-1.5,152,1.5,-180
2026-07-18,ded1e582d76a9362d25395cef8921336,2026-07-19T02:06:00Z,Athletics,Washington Nationals,1.5,-165,-1.5,135,-1.5,174,1.5,-200,1.5,-180,-1.5,145,-1.5,172,1.5,-200,1.5,-160,-1.5,135,1.5,-157,-1.5,129,1.5,-162,-1.5,134,-1.5,175,1.5,-200,1.5,-166,-1.5,141
2026-07-18,9933e32d7b9c200975b046306d80856d,2026-07-19T02:08:00Z,Los Angeles Angels,Detroit Tigers,1.5,-105,-1.5,-115,1.5,-103,-1.5,-117,1.5,-103,-1.5,-120,1.5,-102,-1.5,-118,1.5,-105,-1.5,-115,1.5,-105,-1.5,-114,1.5,-108,-1.5,-113,1.5,100,-1.5,-114,1.5,-103,-1.5,-113
