date,game_id,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-04-07,cdbfd5e28cb2a7740714cfb069042ee5,Cleveland Guardians,Kansas City Royals,1.5,-220,-1.5,180,-1.5,182,1.5,-213,1.5,-220,-1.5,170,-1.5,184,1.5,-215,-1.5,195,1.5,-235,1.5,-208,-1.5,170,1.5,-235,-1.5,190,-1.5,184,1.5,-212,1.5,-222,-1.5,178
2026-04-07,2f6016ab5acb82146f38a5f9453224fa,Chicago White Sox,Baltimore Orioles,1.5,-150,-1.5,125,1.5,-135,-1.5,115,1.5,-152,-1.5,123,1.5,-135,-1.5,115,1.5,-140,-1.5,120,1.5,-136,-1.5,113,1.5,-152,-1.5,126,1.5,-133,-1.5,118,1.5,-147,-1.5,119
2026-04-07,60f04be9ddd5105e10aa2fb477a3258a,New York Mets,Arizona Diamondbacks,-1.5,145,1.5,-175,-1.5,142,1.5,-162,-1.5,143,1.5,-180,-1.5,140,1.5,-160,-1.5,150,1.5,-175,-1.5,139,1.5,-168,-1.5,138,1.5,-166,-1.5,143,1.5,-162,-1.5,137,1.5,-168
2026-04-07,1f445ebef3c39eb365683bafea3e03b5,Tampa Bay Rays,Chicago Cubs,-1.5,165,1.5,-200,-1.5,163,1.5,-187,-1.5,170,1.5,-220,-1.5,160,1.5,-185,-1.5,165,1.5,-195,-1.5,159,1.5,-193,-1.5,162,1.5,-196,-1.5,164,1.5,-187,-1.5,148,1.5,-182
2026-04-07,f30f9a55dc0c96a5bbfbcbd3e4f60344,Miami Marlins,Cincinnati Reds,-1.5,170,1.5,-210,-1.5,161,1.5,-185,-1.5,165,1.5,-210,-1.5,160,1.5,-185,-1.5,165,1.5,-195,-1.5,159,1.5,-194,-1.5,158,1.5,-192,-1.5,162,1.5,-185,-1.5,155,1.5,-192
2026-04-07,737f5efdae425ee79614f3733ac854fc,Pittsburgh Pirates,San Diego Padres,-1.5,145,1.5,-175,-1.5,152,1.5,-173,-1.5,150,1.5,-190,-1.5,152,1.5,-175,-1.5,155,1.5,-180,-1.5,149,1.5,-181,-1.5,146,1.5,-178,-1.5,153,1.5,-173,-1.5,142,1.5,-175
2026-04-07,a028589ce492c9027a1dcaf75f436276,Boston Red Sox,Milwaukee Brewers,-1.5,155,1.5,-190,-1.5,147,1.5,-167,-1.5,145,1.5,-182,-1.5,144,1.5,-165,-1.5,150,1.5,-175,-1.5,141,1.5,-171,-1.5,146,1.5,-178,-1.5,148,1.5,-167,-1.5,145,1.5,-180
2026-04-07,27c6eeeda2f37653edfab1288fc8d1db,Washington Nationals,St. Louis Cardinals,1.5,-190,-1.5,155,-1.5,181,1.5,-211,1.5,-210,-1.5,165,-1.5,180,1.5,-210,-1.5,180,1.5,-220,1.5,-191,-1.5,157,1.5,-188,-1.5,155,-1.5,182,1.5,-210,1.5,-212,-1.5,170
2026-04-07,102415b79cd3e2bf336ad8c7792ba6a2,New York Yankees,Athletics,-1.5,-110,1.5,-110,-1.5,-112,1.5,-108,-1.5,-107,1.5,-117,-1.5,-110,1.5,-110,-1.5,-115,1.5,-105,-1.5,-115,1.5,-105,-1.5,-120,1.5,100,-1.5,-109,1.5,-105,-1.5,-115,1.5,-106
2026-04-07,96d192b9d73482f9d651313a2422fb78,Toronto Blue Jays,Los Angeles Dodgers,1.5,-145,-1.5,120,1.5,-135,-1.5,115,1.5,-132,-1.5,106,1.5,-135,-1.5,115,1.5,-130,-1.5,110,1.5,-136,-1.5,113,1.5,-130,-1.5,108,1.5,-133,-1.5,118,1.5,-137,-1.5,112
2026-04-07,6884c2daf73ff285509cbbcc3d531c93,Minnesota Twins,Detroit Tigers,,,,,1.5,-130,-1.5,110,1.5,-137,-1.5,110,1.5,-130,-1.5,110,1.5,-135,-1.5,115,1.5,-126,-1.5,104,1.5,-134,-1.5,112,1.5,-128,-1.5,113,1.5,-132,-1.5,108
2026-04-07,34c5b69d9dd0d7d28dcc752eae1cf3ee,Texas Rangers,Seattle Mariners,1.5,-180,-1.5,145,1.5,-163,-1.5,143,1.5,-180,-1.5,143,1.5,-165,-1.5,144,1.5,-175,-1.5,150,1.5,-171,-1.5,141,1.5,-178,-1.5,146,1.5,-163,-1.5,144,1.5,-175,-1.5,142
2026-04-07,a8ff4cf1d716757bfb7db919dd280201,Colorado Rockies,Houston Astros,1.5,100,-1.5,-120,1.5,-103,-1.5,-117,1.5,-107,-1.5,-117,1.5,-105,-1.5,-115,1.5,-105,-1.5,-115,1.5,-105,-1.5,-115,1.5,-104,-1.5,-115,1.5,100,-1.5,-114,1.5,-104,-1.5,-116
2026-04-07,180be1fd7e6956dee1a43586959cf909,Los Angeles Angels,Atlanta Braves,1.5,-155,-1.5,125,1.5,-137,-1.5,117,1.5,-148,-1.5,120,1.5,-135,-1.5,115,1.5,-135,-1.5,115,1.5,-143,-1.5,119,1.5,-137,-1.5,114,1.5,-135,-1.5,119,1.5,-145,-1.5,119
2026-04-07,1a5f8eab5c69c278ea5154ff16256884,San Francisco Giants,Philadelphia Phillies,1.5,-145,-1.5,120,1.5,-135,-1.5,115,1.5,-148,-1.5,120,1.5,-135,-1.5,115,1.5,-140,-1.5,120,1.5,-136,-1.5,113,1.5,-140,-1.5,116,1.5,-133,-1.5,118,1.5,-139,-1.5,113
