date,game_id,commence_time,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price
2026-09-18,aee7eae1849ebb103b9bf233e9741392,2026-09-20T17:00:00Z,Atlanta Falcons,Carolina Panthers,2.5,-102,-2.5,-115,2.5,100,-2.5,-120,3.0,-117,-3.0,-105,2.0,100,-2.0,-120,2.5,100,-2.5,-120,2.5,100,-2.5,-120,2.5,-105,-2.5,-115,2.5,105,-2.5,-116
2026-09-18,2143ade9684fd876b68a4e8cbf451f05,2026-09-20T17:00:00Z,Baltimore Ravens,New Orleans Saints,-8.0,-118,8.0,-110,-9.0,101,9.0,-121,-8.5,-107,8.5,-114,-9.0,100,9.0,-120,-8.5,-105,8.5,-115,-8.5,-108,8.5,-112,-8.5,-105,8.5,-115,-9.0,106,9.0,-117
2026-09-18,0283a29e1b38ef78b29b904fd56a16dd,2026-09-20T17:00:00Z,Chicago Bears,Minnesota Vikings,-4.5,-108,4.5,-110,-4.5,-110,4.5,-110,-4.5,-113,4.5,-108,-4.5,-110,4.5,-110,-4.5,-110,4.5,-110,-4.5,-110,4.5,-110,-4.5,-110,4.5,-110,-4.5,-103,4.5,-107
2026-09-18,36ad2fa722f4915ef23d2c81351261de,2026-09-20T17:00:00Z,Houston Texans,Cincinnati Bengals,-2.5,-110,2.5,-108,-2.5,-115,2.5,-105,-2.5,-114,2.5,-107,-2.0,-120,2.0,100,-2.5,-115,2.5,-105,-2.5,-118,2.5,-102,-2.5,-105,2.5,-115,-2.5,-110,2.5,100
2026-09-18,0636ebff776d43f8c829a36713c80b22,2026-09-20T17:00:00Z,Tampa Bay Buccaneers,Cleveland Browns,-9.0,-110,9.0,-110,-9.0,103,9.0,-123,-8.0,-113,8.0,-108,-9.0,100,9.0,-120,-8.0,-110,8.0,-110,-8.5,-108,8.5,-112,-8.5,100,8.5,-122,-9.0,108,9.0,-119
2026-09-18,4aeee070bb6ec60bdfae4dede61b9014,2026-09-20T17:00:00Z,New York Jets,Green Bay Packers,3.5,-112,-3.5,-105,3.0,-104,-3.0,-116,3.5,-112,-3.5,-109,3.0,-105,-3.0,-115,3.0,-105,-3.0,-115,3.5,-105,-3.5,-115,3.5,-108,-3.5,-112,3.0,104,-3.0,-115
2026-09-18,9d14f87600f6edc74dbcb5c74edf6246,2026-09-20T17:00:00Z,New England Patriots,Pittsburgh Steelers,-5.0,-110,5.0,-108,-5.0,-110,5.0,-110,-5.5,-109,5.5,-112,-5.0,-110,5.0,-110,-5.0,-110,5.0,-110,-5.5,-105,5.5,-115,-4.5,-120,4.5,-102,-5.0,-105,5.0,-105
2026-09-18,fafc649c455e32a0f2ba1bd06e2039bc,2026-09-20T17:00:00Z,Tennessee Titans,Philadelphia Eagles,7.0,-102,-7.0,-115,7.5,-115,-7.5,-105,7.0,-110,-7.0,-110,7.5,-115,-7.5,-105,7.0,-105,-7.0,-115,7.0,-110,-7.0,-110,7.0,-110,-7.0,-110,7.5,-114,-7.5,103
2026-09-18,1fd6628c781f556a7a19638e97d7107f,2026-09-20T20:05:00Z,Denver Broncos,Jacksonville Jaguars,-3.0,-102,3.0,-118,-2.5,-119,2.5,-101,-3.0,-106,3.0,-115,-3.0,100,3.0,-120,-3.0,100,3.0,-120,-2.5,-118,2.5,-102,-2.5,-120,2.5,-102,-2.5,-116,2.5,105
2026-09-18,71b3b83747589efdc5baef2c5cf811bf,2026-09-20T20:05:00Z,Los Angeles Chargers,Las Vegas Raiders,-6.5,-115,6.5,-102,-6.5,-115,6.5,-105,-6.5,-118,6.5,-104,-7.0,100,7.0,-120,-6.5,-115,6.5,-105,-6.5,-118,6.5,-102,-6.5,-115,6.5,-105,-6.5,-108,6.5,-102
