date,game_id,commence_time,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-09-21,32367f882fac1a0c20a6335619922025,2026-09-22T00:15:00Z,Los Angeles Rams,New York Giants,-6.5,-110,6.5,100,-7.0,-105,7.0,-115,-6.5,-118,6.5,-104,-7.0,100,7.0,-120,-6.5,-115,6.5,-105,-6.5,-120,6.5,-102,-7.0,104,7.0,-115,-7.0,100,7.0,-120
2026-09-21,e5fbd3b3953b896b1bf897ddadb3cc4b,2026-09-25T00:15:00Z,Green Bay Packers,Atlanta Falcons,-6.0,-112,6.0,-105,-6.5,-105,6.5,-115,-6.5,-110,6.5,-110,-7.0,100,7.0,-120,-6.5,-108,6.5,-112,-6.5,-104,6.5,-118,-6.5,100,6.5,-110,-6.5,-110,6.5,-110
2026-09-21,b225458a282e140c44c45651255f2f6c,2026-09-27T17:00:00Z,Buffalo Bills,Los Angeles Chargers,-7.0,-110,7.0,-108,-7.0,-110,7.0,-110,-7.0,-115,7.0,-107,-7.0,-110,7.0,-110,-7.0,-112,7.0,-108,-7.0,-112,7.0,-108,-7.0,-105,7.0,-105,-7.0,-110,7.0,-110
2026-09-21,613b8cd3a5fab58f7be4e3fd6f76223e,2026-09-27T17:00:00Z,Cleveland Browns,Carolina Panthers,3.0,-118,-3.0,-102,3.0,-118,-3.0,-102,3.0,-114,-3.0,-107,3.0,-120,-3.0,100,3.0,-118,-3.0,-102,2.5,-105,-2.5,-115,3.0,-114,-3.0,103,3.0,-110,-3.0,-110
2026-09-21,71123be049587b6facce3a20c53e5d09,2026-09-27T17:00:00Z,Pittsburgh Steelers,Cincinnati Bengals,3.5,-110,-3.5,-108,3.5,-115,-3.5,-105,3.5,-108,-3.5,-113,3.5,-110,-3.5,-110,3.5,-105,-3.5,-115,3.5,-115,-3.5,-105,3.5,-110,-3.5,100,,,,
2026-09-21,07f552badfa8a565d1be22123713e4da,2026-09-27T17:00:00Z,Detroit Lions,New York Jets,-6.5,-112,6.5,-105,-6.5,-112,6.5,-108,-6.5,-118,6.5,-104,-6.5,-115,6.5,-105,-6.5,-110,6.5,-110,-6.5,-120,6.5,-102,-6.5,-107,6.5,-103,-6.5,-120,6.5,100
2026-09-21,17a730b7d399feeab6a78c30767c29d2,2026-09-27T17:00:00Z,Indianapolis Colts,Houston Texans,3.0,-120,-3.0,100,3.0,-120,-3.0,100,3.0,-114,-3.0,-107,3.0,-120,-3.0,100,2.5,-105,-2.5,-115,2.5,100,-2.5,-122,3.0,-116,-3.0,105,2.5,-105,-2.5,-115
2026-09-21,1f3cfd315a24d1a7dd5859a8e6b88e18,2026-09-27T17:00:00Z,Jacksonville Jaguars,New England Patriots,-3.0,-105,3.0,-112,-3.0,-106,3.0,-114,-3.0,-106,3.0,-115,-3.0,-105,3.0,-115,-3.0,-105,3.0,-115,-2.5,-122,2.5,100,-3.0,-101,3.0,-109,-2.5,-120,2.5,100
2026-09-21,0339a0e41bcee12820eb3e64bb5fadb4,2026-09-27T17:00:00Z,Miami Dolphins,Kansas City Chiefs,12.0,-110,-12.0,-108,11.5,-110,-11.5,-110,10.5,-108,-10.5,-113,11.5,-110,-11.5,-110,11.5,-112,-11.5,-108,10.5,-110,-10.5,-110,11.5,-107,-11.5,-103,11.0,-110,-11.0,-110
2026-09-21,555afd4a27aaa392662881cffa8f2eef,2026-09-27T17:00:00Z,New York Giants,Tennessee Titans,-6.0,-110,6.0,-108,-6.0,-110,6.0,-110,-6.0,-110,6.0,-110,-6.0,-110,6.0,-110,-6.0,-110,6.0,-110,-6.5,-104,6.5,-118,-6.0,-105,6.0,-105,-6.0,-110,6.0,-110
2026-09-21,2a529c108305ffa049d8b6cfdbaa4d36,2026-09-27T17:00:00Z,Washington Commanders,Seattle Seahawks,7.0,-112,-7.0,-105,7.0,-120,-7.0,100,6.5,-110,-6.5,-110,7.0,-120,-7.0,100,6.5,-105,-6.5,-115,6.5,-110,-6.5,-110,7.0,-116,-7.0,105,6.5,-110,-6.5,-110
2026-09-21,9d2b09e0f9b6dd5ce0d985894f4f98fa,2026-09-27T20:05:00Z,San Francisco 49ers,Arizona Cardinals,-8.5,-105,8.5,-112,-9.0,-104,9.0,-116,-8.0,-113,8.0,-108,-9.0,-105,9.0,-115,-8.5,-105,8.5,-115,-8.5,-105,8.5,-115,-9.0,104,9.0,-115,-8.5,-110,8.5,-110
